Time,Force,D1,D2,D3,D4,D5,D6,D7
0.0256,4412.72778,12.45275718,8.909448893,6.791338653,4.791339101,3.653543592,2.633858502,1.559055209
0.0258,4289.600822,12.29133982,8.779528382,6.677166136,4.700788083,3.582677485,2.590551645,1.562992215
0.026,4174.416504,12.12992191,8.645669937,6.562992096,4.610236168,3.507874012,2.54724431,1.562992215
0.0262,4059.233089,11.96456689,8.515748503,6.448819579,4.519685627,3.437008143,2.50000018,1.559055209
0.0264,3944.048831,11.79527536,8.381890058,6.338582307,4.425196944,3.36220464,2.452755838,1.555118054
0.0266,3824.893796,11.62204775,8.251968623,6.228346557,4.330708684,3.28346482,2.405511946,1.547244072
0.0268,3709.710351,11.44882015,8.118110511,6.11417404,4.240158053,3.204724999,2.354331047,1.539370179
0.027,3590.554199,11.27558994,7.984251976,6.000000477,4.14566946,3.129921198,2.299212694,1.527559042
0.0272,3471.399105,11.10236329,7.846457544,5.881890776,4.051181675,3.051181377,2.244094611,1.511811197
0.0274,3348.271029,10.92913404,7.704724043,5.767716169,3.956692754,2.976377814,2.188976436,1.496062934
0.0276,3233.087613,10.75196874,7.566929133,5.649606437,3.866141976,2.897637994,2.133858324,1.476377994
0.0278,3113.932519,10.57086766,7.425197932,5.531496676,3.771654191,2.822835179,2.078740389,1.452756108
0.028,2994.776367,10.38582706,7.283464432,5.413385868,3.677165508,2.748031616,2.01968503,1.433070898
0.0282,2875.621273,10.1968515,7.141733232,5.295276167,3.582677485,2.669291795,1.964567126,1.409448803
0.0284,2752.493197,10.00787318,6.996062487,5.177165269,3.488188802,2.594487994,1.909448742,1.385826766
0.0286,2637.310025,9.81889856,6.850394041,5.0551188,3.393701257,2.515748174,1.850393773,1.358267725
0.0288,2518.154687,9.625985269,6.696851675,4.933071854,3.295276227,2.440945359,1.795276047,1.330708713
0.029,2402.970459,9.429133415,6.539370537,4.807086468,3.200787544,2.36220479,1.740157485,1.299212575
0.0292,2287.787288,9.228347603,6.381890418,4.681102755,3.102362753,2.287401975,1.685039462,1.267716647
0.0294,2172.602816,9.02362117,6.216535269,4.551180601,3.007873832,2.212598442,1.625984102,1.240157425
0.0296,2061.391324,8.814961852,6.055118383,4.421260119,2.909449042,2.141732574,1.570866347,1.208661497
0.0298,1954.151666,8.606300567,5.88976473,4.291339162,2.81102434,2.066929551,1.519685418,1.177165569
0.03,1842.939331,8.397638321,5.72440958,4.161417484,2.71653533,1.992126107,1.464566946,1.145669341
0.0302,1735.699764,8.185040298,5.55905545,4.027559759,2.618110539,1.917323173,1.413386048,1.114173413
0.0304,1628.45914,7.96850404,5.38976398,3.889763593,2.51968485,1.846456616,1.36220467,1.082677066
0.0306,1521.219571,7.75196928,5.220473142,3.755905897,2.42126006,1.771653683,1.307086707,1.051181138
0.0308,1417.951806,7.531497305,5.043308291,3.618110988,2.322835269,1.696850987,1.255905778,1.015748204
0.031,1318.654907,7.307086945,4.866141796,3.48031497,2.224409342,1.622047305,1.204724431,0.984251976
0.0312,1223.330806,7.082678202,4.685040238,3.342520299,2.122047605,1.547244371,1.153543592,0.952756048
0.0314,1128.0058,6.854330568,4.503936915,3.200787275,2.023621827,1.476377814,1.106299161,0.92125976
0.0316,1036.653471,6.625984611,4.322835328,3.059055597,1.921259941,1.401575,1.055118293,0.885826826
0.0318,945.3013246,6.393702423,4.145670447,2.917323682,1.818898263,1.326772185,1.007874281,0.854330899
0.032,857.9200439,6.165354729,3.964567184,2.775590658,1.716535568,1.251968503,0.956692934,0.818897665
0.0322,774.5114103,5.92913479,3.787402334,2.629922034,1.614173533,1.177165688,0.909449042,0.783464671
0.0324,691.1028416,5.692915339,3.606300487,2.488190066,1.51181186,1.102362638,0.858268145,0.751968744
0.0326,615.6379945,5.456695877,3.421262044,2.346458389,1.409449825,1.023622938,0.807087308,0.71653581
0.0328,540.1716335,5.21653467,3.240156886,2.200787005,1.307086168,0.948818623,0.759842395,0.685039221
0.033,472.6503906,4.980314732,3.051181078,2.05905509,1.204724431,0.874015749,0.708661437,0.657480359
0.0332,401.1573454,4.74409527,2.866142514,1.917323413,1.102362515,0.799212934,0.661417545,0.625984371
0.0334,337.6079081,4.507875819,2.685040845,1.771654617,0.996063897,0.724409943,0.614173595,0.594488445
0.0336,278.0301783,4.279530188,2.503938989,1.62992294,0.8937021,0.645670183,0.562992697,0.562992517
0.0338,218.451617,4.047243234,2.322834072,1.484251437,0.791338204,0.570865869,0.515747844,0.531495928
0.034,162.845932,3.822834492,2.145669222,1.34251976,0.685039341,0.496062994,0.468503952,0.5
0.0342,115.1838893,3.59448922,1.96850461,1.200787964,0.582677605,0.421260059,0.42126,0.468504072
0.0344,67.521849,3.370080251,1.795277013,1.06299306,0.480315783,0.342520273,0.370079133,0.440945
0.0346,23.83165761,3.153545758,1.618112282,0.925198449,0.381890842,0.267717459,0.322835182,0.409449193
0.0348,-15.887529,2.94094437,1.444881258,0.791338084,0.283464222,0.19685009,0.275590359,0.377952724
0.035,-51.63407516,2.73622036,1.275590658,0.657480359,0.185039386,0.122047253,0.228346467,0.350393713
0.0352,-83.40876902,2.535433832,1.114173891,0.523622575,0.090551542,0.047244397,0.181102545,0.318897785
0.0354,-107.239884,2.342521206,0.952757133,0.393701742,-0.007873293,-0.023621447,0.133858639,0.291338713
0.0356,-131.0709393,2.153545398,0.799214438,0.271654795,-0.102361126,-0.094487475,0.090551544,0.259842876
0.0358,-150.9304345,1.968503294,0.649605748,0.149605823,-0.192913742,-0.16535464,0.043306908,0.232283413
0.036,-162.845932,1.791338563,0.507874012,0.031496063,-0.287401587,-0.236220479,-0.003937008,0.204724416
0.0362,-178.733277,1.622047903,0.366142276,-0.082676752,-0.37401545,-0.307086318,-0.047243918,0.177165479
0.0364,-186.6769262,1.460631264,0.228347431,-0.19291254,-0.460629308,-0.374015267,-0.090550942,0.149606543
0.0366,-194.6205609,1.30708821,0.094489638,-0.295274517,-0.54724305,-0.440944159,-0.133857917,0.122047614
0.0368,-198.5926056,1.165353832,-0.027559534,-0.397638173,-0.62598455,-0.507874251,-0.177165539,0.094488136
0.037,-202.5644531,1.031496048,-0.14173229,-0.492125988,-0.704724371,-0.570866168,-0.22047244,0.070866145
0.0372,-206.5362403,0.901575269,-0.248031078,-0.582676827,-0.779527366,-0.633858024,-0.263779371,0.043307208
0.0374,-210.5080267,0.783465394,-0.342518948,-0.665353709,-0.854330117,-0.692912931,-0.30314937,0.01968528
0.0376,-210.5081482,0.665355753,-0.433069786,-0.74409377,-0.921259099,-0.751967782,-0.346456166,-0.003936828
0.0378,-214.480011,0.559054731,-0.515748323,-0.818897904,-0.984252215,-0.807086826,-0.385826886,-0.031496123
0.038,-218.4518585,0.46062991,-0.594488204,-0.885826766,-1.043307066,-0.862204731,-0.42125982,-0.05511811
0.0382,-222.4237061,0.370079131,-0.665354072,-0.944881677,-1.09842497,-0.909448682,-0.46062979,-0.078740097
0.0384,-226.3955688,0.291339195,-0.732282991,-0.999999639,-1.149605986,-0.960629519,-0.496062753,-0.102362088
0.0386,-226.3955688,0.216536336,-0.795275088,-1.051180537,-1.196849878,-1.003936465,-0.531495687,-0.12598389
