Time,Force,D1,D2,D3,D4,D5,D6,D7,D8
0.0292,-341.2,5.601707967,5.342804628,4.985073404,4.634179379,4.223504277,3.579478969,2.939022437,2.396281547
0.0294,-328.2685229,5.491474326,5.246281067,4.886935873,4.553512661,4.149558968,3.525087163,2.903074678,2.377218699
0.0296,-281.8223199,5.379558172,5.148428295,4.787559402,4.470460808,4.074080316,3.469063445,2.866946573,2.357748155
0.0298,-268.1,5.266302168,5.04951324,4.687852314,4.384410428,3.99617522,3.412107381,2.829721031,2.337820797
0.03,-287.1651817,5.151670457,4.949024912,4.587715592,4.294822743,3.915886166,3.354635229,2.790533763,2.31687925
0.0302,-269.2435267,5.036030346,4.847563269,4.487030463,4.201935208,3.834080609,3.2970058,2.748882484,2.294599824
0.0304,-240.666061,4.9210017,4.745525264,4.386212661,4.108024209,3.750135639,3.238382415,2.704655686,2.270778195
0.0306,-212.1528998,4.807597715,4.64345993,4.28475993,4.014606327,3.665155712,3.17865536,2.658789807,2.24492812
0.0308,-183.5647335,4.69476819,4.541620445,4.183248506,3.922585237,3.580656591,3.117120504,2.611244405,2.218027124
0.031,-186.2325909,4.582415064,4.440401524,4.082785932,3.83209578,3.496911723,3.054139215,2.562903986,2.190515885
0.0312,-175.1741066,4.471071529,4.339703105,3.982953134,3.742828471,3.414441183,2.990172994,2.514542238,2.162499121
0.0314,-170.6,4.360786819,4.239255536,3.883344464,3.654195782,3.33270246,2.925277856,2.466153251,2.133887522
0.0316,-150.0165202,4.252434974,4.13986116,3.784176801,3.564377856,3.250525835,2.859972056,2.417761863,2.103939367
0.0318,-170.6,4.146269772,4.041934974,3.686597422,3.473509666,3.167474868,2.794364558,2.368590217,2.072478325
0.032,-182.8,4.0426,3.94565,3.5916,3.38255,3.08405,2.72775,2.31835,2.03965
0.0322,-178.6046866,3.940946046,3.85097768,3.498618395,3.292867018,3.000356356,2.660194728,2.266497129,2.005813767
0.0324,-191.1834798,3.842007557,3.75898471,3.408350088,3.206418278,2.917427241,2.592187698,2.21350123,1.971329877
0.0326,-170.2140598,3.745325132,3.669318453,3.320543761,3.123827592,2.837057645,2.524598418,2.16029297,1.936319156
0.0328,-146.2,3.651190393,3.582133919,3.23508389,3.04470867,2.760164851,2.458020797,2.108145343,1.900607381
0.033,-137.4685229,3.559260492,3.497064889,3.150593025,2.967464537,2.685326905,2.392945193,2.057672626,1.864289215
0.0332,-108.9352665,3.469683714,3.413062214,3.066302812,2.890643995,2.611744288,2.329154423,2.008330521,1.827775278
0.0334,-97.5,3.382841301,3.330179965,2.983139367,2.813291916,2.538914763,2.266190158,1.958652724,1.790985589
0.0336,-76.14642438,3.29922714,3.249264947,2.901552345,2.735577784,2.466853517,2.204004748,1.908281184,1.753070223
0.0338,-73.1,3.218431869,3.170958407,2.822277153,2.659761511,2.395678676,2.142681722,1.85722853,1.714458114
0.034,-78.43481829,3.139482298,3.09519449,2.747244314,2.586837866,2.325443962,2.082502403,1.805326788,1.676081653
0.0342,-87.96584651,3.06220164,3.020844054,2.675042765,2.517254071,2.256993146,2.024053544,1.753207264,1.638574341
0.0344,-86.82231986,2.986438313,2.947700527,2.604256591,2.450718629,2.189843761,1.967036555,1.702442179,1.601034798
0.0346,-97.5,2.911955158,2.876338218,2.534005451,2.386345018,2.124063658,1.91049871,1.65302585,1.563323623
0.0348,-97.5,2.839373872,2.805561394,2.463905155,2.322689631,2.060089631,1.853564733,1.604561746,1.525980668
0.035,-52.50445487,2.768061372,2.735754924,2.393160023,2.258449824,1.996682356,1.796626729,1.556519226,1.488158499
0.0352,-85.29285296,2.698516403,2.667766667,2.322041183,2.192741652,1.933467194,1.740068014,1.508894142,1.449995255
0.0354,-58.99173989,2.629825132,2.60164833,2.252393849,2.125789104,1.871355888,1.684475747,1.462112654,1.412118278
0.0356,-58.6116061,2.562094783,2.537019871,2.185132298,2.05928857,1.810657503,1.629926436,1.415170399,1.374142556
0.0358,-86.06473345,2.495869303,2.473530346,2.119222437,1.995077211,1.751846163,1.57689795,1.368173169,1.336092267
0.036,-74.6294669,2.430210252,2.410566081,2.055016227,1.93365952,1.694458934,1.524689397,1.322057176,1.299068248
0.0362,-70.42700644,2.364820035,2.347937727,1.992715817,1.875021148,1.637397832,1.473411306,1.276283773,1.262349209
0.0364,-48.7,2.300046749,2.286365378,1.930909139,1.817408963,1.580774517,1.42329297,1.230177153,1.225301757
0.0366,-48.7,2.236468171,2.225319695,1.869402521,1.758746249,1.524224326,1.373388277,1.18437415,1.187981829
0.0368,-48.7,2.173658582,2.165471295,1.807483597,1.697858641,1.467133919,1.323884417,1.138534622,1.151072701
0.037,-29.3397188,2.1112942,2.106823374,1.744716169,1.6357942,1.410079438,1.274717458,1.092648272,1.114043995
0.0372,-24.4,2.049243435,2.049416061,1.682737222,1.575003048,1.353884994,1.22589238,1.047105393,1.075915885
0.0374,-48.7,1.987760808,1.991754482,1.622029525,1.517249736,1.29991529,1.177437083,1.002099473,1.037288401
0.0376,-33.48481829,1.926497597,1.933741149,1.562547421,1.462478312,1.247815709,1.12850932,0.95801524,0.998946131
0.0378,-23.59396602,1.865110369,1.875227768,1.504312244,1.41027686,1.196334622,1.079497364,0.9143744,0.961339016
0.038,-64.70937317,1.804212888,1.816790744,1.447374927,1.359061863,1.144140129,1.030836555,0.871154716,0.924563386
0.0382,-52.89062134,1.743165182,1.759198417,1.391126671,1.306397304,1.090683177,0.982558792,0.827771805,0.888206975
0.0384,-48.7,1.6818,1.7029,1.3355,1.2518,1.036,0.9347,0.7839,0.8516
